,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120
T1,0.0,35.34885036507239,35.34885036507239,35.34885036507238,35.34885036507238,35.34885036507239,35.34885036507239,35.34885036507239,35.34885036507239,35.34885036507238,35.34885036507238,35.34885036507239,35.34885036507239,35.34885036507239,35.34885036507238,35.34885036507238,35.34885036507238,35.34885036507238,35.34885036507238,35.34885036507239,35.34885036507239,35.34885036507239,35.34885036507239,35.34885036507238,35.34885036507239,35.34885036507239,35.34885036507239,35.34885036507239,35.34885036507239,35.34885036507239,35.34885036507238,35.34885036507238,35.34885036507239,35.34885036507239,35.34885036507239,35.34885036507239,67.08626089379112,67.08626089379112,67.0862608937911,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.0862608937911,67.08626089379112,67.08626089379112,67.0862608937911,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.77396144140452,72.77396144140452,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.7739614414045,72.7739614414045,72.7739614414045
T2,35.34885036507239,0.0,16.80591278566888,24.20515524188253,24.20515524188253,24.205155241882533,24.205155241882533,24.205155241882533,24.205155241882533,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,67.0862608937911,67.0862608937911,67.08626089379109,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.08626089379109,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045
T3,35.34885036507239,16.80591278566888,0.0,24.205155241882533,24.205155241882533,24.205155241882537,24.205155241882533,24.205155241882533,24.205155241882533,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665205,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665205,33.30526419665205,33.30526419665205,33.30526419665205,33.30526419665204,33.30526419665205,33.30526419665205,33.30526419665205,33.30526419665205,33.30526419665205,33.30526419665205,33.30526419665204,33.30526419665204,33.30526419665205,33.30526419665205,33.30526419665205,33.30526419665205,67.08626089379112,67.08626089379112,67.0862608937911,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.0862608937911,67.08626089379112,67.08626089379112,67.0862608937911,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,67.08626089379112,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.77396144140452,72.77396144140452,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.77396144140451,72.7739614414045,72.7739614414045,72.7739614414045
T4,35.34885036507238,24.20515524188253,24.205155241882533,0.0,10.895590159964486,19.88258411995564,19.882584119955638,19.882584119955638,19.882584119955638,33.30526419665203,33.30526419665203,33.30526419665203,33.30526419665203,33.30526419665204,33.30526419665203,33.30526419665203,33.30526419665203,33.30526419665203,33.30526419665203,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665203,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665203,33.30526419665203,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.0862608937911,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045
T5,35.34885036507238,24.20515524188253,24.205155241882533,10.895590159964486,0.0,19.88258411995564,19.882584119955638,19.882584119955638,19.882584119955638,33.30526419665203,33.30526419665203,33.30526419665203,33.30526419665203,33.30526419665204,33.30526419665203,33.30526419665203,33.30526419665203,33.30526419665203,33.30526419665203,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665203,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665203,33.30526419665203,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.0862608937911,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045
T6,35.34885036507239,24.205155241882533,24.205155241882537,19.88258411995564,19.88258411995564,0.0,4.305560486496656,4.305560486496656,4.305560486496657,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,67.0862608937911,67.0862608937911,67.08626089379109,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.08626089379109,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045
T7,35.34885036507239,24.205155241882533,24.205155241882533,19.882584119955638,19.882584119955638,4.305560486496656,0.0,1.2724948483792258,3.7410633022503683,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,67.0862608937911,67.0862608937911,67.08626089379109,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.08626089379109,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045
T8,35.34885036507239,24.205155241882533,24.205155241882533,19.882584119955638,19.882584119955638,4.305560486496656,1.2724948483792258,0.0,3.7410633022503683,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,67.0862608937911,67.0862608937911,67.08626089379109,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.08626089379109,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045
T9,35.34885036507239,24.205155241882533,24.205155241882533,19.882584119955638,19.882584119955638,4.305560486496657,3.7410633022503683,3.7410633022503683,0.0,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,67.0862608937911,67.0862608937911,67.08626089379109,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.08626089379109,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,67.0862608937911,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045
T10,35.34885036507238,33.30526419665204,33.30526419665204,33.30526419665203,33.30526419665203,33.30526419665204,33.30526419665204,33.30526419665204,33.30526419665204,0.0,5.517796597085164,6.555835150754095,6.555835150754095,6.555835150754095,28.578343652324264,28.578343652324264,28.578343652324264,28.578343652324264,28.578343652324264,28.578343652324264,28.578343652324264,28.578343652324264,28.578343652324264,28.578343652324264,28.578343652324264,28.578343652324268,28.578343652324268,28.578343652324268,28.578343652324264,28.578343652324264,28.578343652324264,28.578343652324264,28.578343652324268,28.578343652324264,28.578343652324264,28.578343652324264,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.0862608937911,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,67.08626089379109,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045,72.7739614414045
